,SNORD29,SNORD31,MIR24-1,FTL,SNORD2,SNORD27,SNORD49A,SNORD68,MIR4461,MIR631,MIR374C,SNORD45B,IGFBP5,SNORD55,MIR3189,SNORD38A,QSOX1,SNORD34,MIR3191,SNORD102,MIR4720,SNORD26,SNORD73A,COL1A2,MIR1914,MIR103A2,SNORD28,SNORD36A,SNORD104,SNORD59B,SNORD32A,MIR4649,MIR3120,SNORD60,MIR4664,MIR93,MIR324,MIR4324,SNORD50B,MIR656,MIR503,SNORD45A,MIR29B2,SNORD62A,MIR4635,SNORD79,MIR614,MIR21,SNORD54,MIR3074,MIR410,MIR939,MIR4516,SNORD38B,MIR4492,SNORD103A,SNORD30,MIR450B,MIR4524A,SNORD56,SNORD58C,MIR421,SNORD36B,SNORD65
SNORD29,1,0.152169087,0.1687770852,0.2494662097,0.1592248085,0.2442138931,0.09344593834,0.1901579157,0.05728819236,0.09228751533,0.2192054338,0.1996602596,-0.08035078721,0.04405036761,-0.07665106843,0.1184265908,-0.1638726607,0.1937651983,0.01742051793,0.0284199257,0.03766998928,0.1264986961,0.1228863839,0.1603220472,0.04246836926,0.1789343205,-0.0533816206,0.1415844619,0.07759711097,0.2293624046,0.1040886398,0.09788143502,0.09891070342,-0.01810010813,-0.03480253264,-0.05585538995,0.1627671759,-0.04052412504,0.1833254527,0.03053523804,-0.04080791712,0.1335972281,0.1724395162,0.07966495988,0.2106852536,-0.02032195383,0.03843457217,0.07224196769,0.01569132832,-0.03829244332,0.01880289956,0.10712038,0.07029221684,-0.005872349952,0.2479908162,0.09905302178,0.1262245719,0.1793184101,-0.01859067877,-0.006248859203,0.162108228,0.08793603103,-0.01479208569,0.2621798558
SNORD31,0.152169087,1,0.0642684134,0.3099397868,0.05979669731,0.126782222,0.03332516106,0.2134862951,0.005890486929,-0.02461385766,0.03396357913,0.08749554661,-0.202781582,0.02430089422,0.004798207928,0.03403305556,-0.08067936338,0.1147403113,0.03673126692,0.2135267538,0.0593052884,0.03699434122,0.07856051588,0.0769988036,0.1770255921,0.06690916395,-0.03617440912,0.06687374387,0.17569319,0.04338107411,0.1326996473,0.1251924538,0.1075841926,-0.0225264387,0.124298548,0.1582134658,0.1996273316,0.1197561294,0.116125199,0.03006626021,-0.08266649664,0.201748511,0.02591661454,0.2286990787,0.1095709465,0.07190627857,0.1512342254,0.02813915414,-0.005850461654,0.06000202578,0.1270037189,0.01553071081,0.1454552069,0.07322931726,0.1549082682,0.1147370294,0.07305030792,0.1133744503,-0.04881092053,0.1961816796,0.1576717121,0.09220659229,0.1897333321,0.07094211999
MIR24-1,0.1687770852,0.0642684134,1,0.1659278962,0.07592700991,0.2302915272,0.2243014592,0.1349768471,-0.04710926528,0.01171123026,0.2096805606,0.167671697,-0.02125719548,0.1192375733,-0.1294846484,0.2304288301,-0.1533578277,0.1337523122,-0.08511852811,-0.02551033676,0.1011609281,0.0678068152,0.2019603843,0.1500611865,0.09990558661,0.1734411429,-0.1070983204,0.2631795009,0.2148100158,0.2186693522,0.01267642876,0.06982439851,0.06780675616,0.07194690301,-0.06513974985,-0.1357145657,0.02658202127,-0.06130745977,0.2352803771,-0.01973824634,-0.06026482767,0.1111688164,0.1245301266,0.07709157949,0.04653553727,0.01391444869,-0.03847653443,0.1441907575,-0.0162257757,-0.005733542564,-0.02668976664,0.05660126573,0.0918917484,-0.04784237018,0.08333517783,0.1151262726,0.2039760837,0.02038715455,-0.04136183719,-0.03224164674,0.2059891406,0.1546046364,-0.04234538148,0.05947724249
FTL,0.2494662097,0.3099397868,0.1659278962,1,0.1504366095,0.3095632287,0.1209047884,0.3463233399,0.08228746319,-0.03804795178,0.1523238277,0.2834211668,-0.5997864043,0.07526349892,-0.1742926659,0.1924505016,-0.3173230243,0.1285103617,0.01508278932,0.2719346119,0.0770545019,0.2738117272,0.2288448065,0.3121687038,0.2058475484,0.1683670728,-0.004540622785,0.254991748,0.3714282933,0.2779963626,0.3124599082,0.2217617833,0.1059811071,0.1511072801,0.1279096971,-0.09016442843,0.1020017668,0.1219610452,0.2384522177,-0.1198946864,-0.2064364873,0.2968984714,0.003027449943,0.3143034033,0.06409094603,0.1463467161,0.2172152228,0.0244110593,0.02510819402,-0.01745965997,-0.02160958035,0.1607849149,0.1570567025,0.2145320172,0.1413782814,0.2032053949,0.2197272972,0.1220603501,-0.155252829,0.2256996954,0.4063368204,0.00842494366,0.2268949687,0.2206691034
SNORD2,0.1592248085,0.05979669731,0.07592700991,0.1504366095,1,0.2226315387,0.196191386,0.05329525032,-0.05238345539,0.1240915709,0.1048107839,0.1708684116,-0.1471805392,0.2507138926,-0.001993858133,0.1950255932,0.006242965886,0.1237228881,0.1274444575,-0.03669877041,0.06043658471,0.1413306485,0.1974989118,-0.008867828103,-0.147733324,0.06100792237,-0.03678759263,-0.01697880107,0.03601116996,0.2096216279,0.07120127057,0.131829056,0.1524807273,-0.02191185495,-0.07499168375,0.05252404443,0.1506471091,-0.07929962797,0.03026671816,0.02056267829,0.09545459924,-0.03571648831,0.09960460029,0.05505840629,0.2757158388,-0.08236938885,0.08422629269,0.2103639647,0.1539804896,-0.1609973067,0.09504909138,0.1019260948,-0.08264854696,-0.04412265382,0.2377690099,0.05439296758,0.1933613613,0.09960349878,0.06991417073,-0.04014929973,0.006523229146,0.1105919068,-0.03069416588,0.185640004
SNORD27,0.2442138931,0.126782222,0.2302915272,0.3095632287,0.2226315387,1,0.2054139345,0.1844787579,-0.005817564384,0.04660711111,0.1861780593,0.2472263724,-0.1265204417,0.1799214025,-0.1598579154,0.2068647301,-0.1744374527,0.1291554145,0.02707099225,-0.03430031586,0.05639039612,0.1230274508,0.1877616757,0.1700396876,0.01348588284,0.1486306702,-0.1096423347,0.1651961389,0.1913783949,0.2073012989,0.06216090738,0.1120150335,0.01728717197,-0.001470494468,-0.06730716549,-0.08926620673,0.0780868895,-0.07576232036,0.2325297659,-0.05936311906,-0.07786923057,0.01848502978,0.1800232975,0.05270269076,0.1994846352,-0.07786861958,0.08248366516,0.1087537469,-0.008453512742,-0.1319934373,-0.0521455529,0.09705574244,-0.01183089597,-0.04038666604,0.2456803955,0.02173466387,0.1881801196,0.09056694145,-0.05190833482,-0.03532319556,0.1459088526,0.1831552387,-0.04214508458,0.1706035025
SNORD49A,0.09344593834,0.03332516106,0.2243014592,0.1209047884,0.196191386,0.2054139345,1,0.07443556247,-0.1359639373,0.004893658184,0.1191985897,0.1739358313,0.05096612385,0.3044573442,-0.01192555961,0.2291859161,-0.2007264781,0.1760291456,-0.02813259461,-0.1091499007,0.0178055777,-0.01937702974,0.1496077495,0.1974846088,-0.04891827458,0.07160946928,-0.02830785165,0.1964507288,0.1226827884,0.1258576419,-0.1152714581,-0.004613425816,0.01026870886,0.1212309375,-0.1414005468,-0.006629836031,0.06568507164,-0.1400311639,0.1854515734,0.03936270717,0.05652976081,0.00314520975,0.1921117058,-0.04238636499,0.1334957465,-0.02663780807,-0.1150242874,0.1583150453,0.1263127534,-0.02241060102,0.01930395979,-0.04947783588,-0.02864978496,-0.08652775792,0.1019179248,0.03095311621,0.1589518554,-0.04777472573,0.1409402718,-0.08455179446,-0.003492399493,0.2015408409,-0.06134117569,0.02068435479
SNORD68,0.1901579157,0.2134862951,0.1349768471,0.3463233399,0.05329525032,0.1844787579,0.07443556247,1,0.02541140112,0.0140726864,0.2096610793,0.2503535104,-0.1326143695,0.005412177429,-0.02770750843,0.06593834066,-0.2075174836,0.07121160339,0.03726919057,0.07319526731,0.06168977886,0.07263779597,0.0396243748,0.2025603497,0.1616368816,0.2496916775,-0.06055459064,0.1783544845,0.1401979419,0.1357322052,0.08982247371,0.200376582,0.09384658243,0.07431385507,0.0007676462194,0.002399442497,0.248723638,-0.005514213871,0.1548646956,0.005512159701,-0.09735838541,0.2260156241,0.1493140807,0.07396680258,0.1325895078,0.05571104244,0.104855536,-0.022821846,-0.02689698394,0.01284278152,-0.007085278281,0.06311293594,0.09995237097,0.06178662804,0.180942485,0.09826113664,0.03820299775,0.1834728015,-0.08093260423,0.06480269342,0.1787441075,0.08531457239,0.191775397,0.1480333909
MIR4461,0.05728819236,0.005890486929,-0.04710926528,0.08228746319,-0.05238345539,-0.005817564384,-0.1359639373,0.02541140112,1,0.07567138316,-0.02484856357,-0.03454941242,-0.1675756642,-0.1258339865,0.03029067815,-0.06226373213,0.1100262056,0.02133929751,0.1144017154,0.1379725238,0.1045131586,0.1961981571,-0.01785825313,-0.112478547,0.1082183361,0.02785623137,0.1995347295,0.001431909583,0.08328579161,-0.01484390088,0.1353148218,0.09560384592,-0.05749257802,0.1001775092,0.2215637591,-0.03150739451,0.004784375876,0.2173119259,0.01059617637,0.05434914136,0.01462636867,0.1412284699,-0.04318312478,0.07736367339,-0.01611243928,0.1377780986,0.1583596456,-0.04304991271,-0.000106881376,0.09892482099,0.001796308561,0.2214686748,0.1605280416,0.2914094027,0.008419237664,0.1347697288,-0.01796572878,0.1189766016,-0.02625381222,0.08585840051,0.1122825117,-0.006246198042,0.07116249334,0.0554265478
MIR631,0.09228751533,-0.02461385766,0.01171123026,-0.03804795178,0.1240915709,0.04660711111,0.004893658184,0.0140726864,0.07567138316,1,0.05715202258,0.02089271118,-0.1500981429,0.05609045136,0.1351233358,0.09700608974,0.2100458321,0.005754708471,0.2353933454,-0.03532285739,0.1205484553,0.2139846464,0.181230307,-0.2127891181,-0.1272750734,0.1040467641,0.1759892838,-0.116903784,-0.05524616301,0.1314449658,0.1541766397,0.0954973976,0.1042476785,0.02783132491,0.02623093553,0.1094173065,0.06025015202,0.02763613382,-0.07869859703,0.2604134313,0.0811744341,0.002418848238,0.07780502758,0.05280913968,0.1158310392,-0.09493406994,0.09686403537,0.193807795,0.1160363086,-0.09745742456,0.1201733517,0.1948807213,-0.05169896991,0.08081846442,0.07371863223,0.1023500345,0.1863195779,0.2366537842,0.13897956,0.07495591392,0.02326701959,0.1654882274,0.06814055269,0.1913059457
MIR374C,0.2192054338,0.03396357913,0.2096805606,0.1523238277,0.1048107839,0.1861780593,0.1191985897,0.2096610793,-0.02484856357,0.05715202258,1,0.3045259545,-0.0707333342,0.0839602066,-0.1114382888,0.1804174841,-0.08917889083,0.04757644339,-0.03354849587,-0.01686115808,0.07261965893,0.09373224046,0.1076481614,0.08453413122,0.06999203704,0.3059633997,-0.08937540726,0.1802454208,0.1100884506,0.2553132006,0.06328378479,0.1214588794,0.1327210608,0.09356102288,-0.04757146787,-0.08739687991,0.1055004691,-0.04681611746,0.1441827143,0.01065591772,-0.04212195516,0.09479416311,0.2001978475,0.04046518184,0.1738398526,-0.008296378231,0.01898104293,0.06209801493,-0.005323005092,-0.03361564354,0.01357571799,0.09348887107,0.05050767823,-0.03665336061,0.2104503769,0.0308838716,0.10413728,0.1591197524,-0.03479747941,-0.02304383591,0.1664772476,0.05069280389,-0.02999624252,0.2272581383
SNORD45B,0.1996602596,0.08749554661,0.167671697,0.2834211668,0.1708684116,0.2472263724,0.1739358313,0.2503535104,-0.03454941242,0.02089271118,0.3045259545,1,-0.09669284826,0.1494022023,-0.1315196571,0.1584845748,-0.1924868197,0.04255816723,0.008677674327,-0.03115326615,0.02546040299,0.07850898215,0.09890995042,0.1872883509,0.03276258145,0.2633443865,-0.08409923108,0.1699888439,0.1539225873,0.2295047195,0.03169229247,0.1494952712,0.07234462587,0.09334043733,-0.05821711384,-0.04320152425,0.1333261568,-0.06368248267,0.1449516342,-0.01544624484,-0.05504828114,0.07043208831,0.2446043497,0.01310771594,0.2320365672,-0.04037507215,0.05917073422,0.03501318072,0.0007591170645,-0.08696527849,-0.01731748336,0.06422333498,0.01756287573,-0.03027572844,0.2744221452,-0.006950440666,0.0955973438,0.1328314924,-0.0317835103,-0.02810736373,0.1073633672,0.08704320568,-0.02227638924,0.2151992283
IGFBP5,-0.08035078721,-0.202781582,-0.02125719548,-0.5997864043,-0.1471805392,-0.1265204417,0.05096612385,-0.1326143695,-0.1675756642,-0.1500981429,-0.0707333342,-0.09669284826,1,-0.02682509465,-0.01308447272,-0.06277829653,-0.5630954983,0.0535939322,-0.2542020914,-0.2088072918,-0.1470834411,-0.2816303431,-0.1998431975,0.5675520031,-0.09997903222,-0.1026731859,-0.03983731232,0.08253197819,-0.1643742646,-0.1371813372,-0.3391978168,-0.2863660258,-0.1830173291,-0.000385383654,-0.2419148121,-0.1458037359,-0.1425990642,-0.2361392078,0.0524685185,-0.04745285776,0.05781207637,-0.1285623679,0.03015472179,-0.2806970734,-0.1478340805,0.009373372376,-0.3856788002,-0.1551859395,-0.02279808744,0.04268217209,-0.1488955711,-0.2862994272,-0.08781969559,-0.1879335544,-0.1825314546,-0.1059794943,-0.1891734041,-0.2358710529,0.009028173632,-0.1968473623,-0.220038122,-0.03861160375,-0.1898856481,-0.1976825467
SNORD55,0.04405036761,0.02430089422,0.1192375733,0.07526349892,0.2507138926,0.1799214025,0.3044573442,0.005412177429,-0.1258339865,0.05609045136,0.0839602066,0.1494022023,-0.02682509465,1,0.03930650912,0.2576868658,-0.06520866574,0.1089359536,0.0467751323,-0.06087371931,0.08062671943,0.02554865947,0.1643407391,0.06029664714,-0.1028825699,0.0506659407,0.02467735425,0.05871502275,0.07348590284,0.08357758627,-0.05496522014,-0.00851972457,0.0206790797,0.1072124613,-0.08921543747,0.08549489283,0.03204025144,-0.08654742799,0.1197500905,0.0748380804,0.1069655191,-0.07515635896,0.1408073318,0.01045177192,0.1697738394,-0.0447366349,-0.04153892732,0.1786873852,0.1522582167,-0.05288412259,0.0915353363,-0.008193808792,-0.1046006792,-0.05296085348,0.1274381183,-0.009889782428,0.1685209605,-0.01143768299,0.1624194159,-0.04236077904,-0.04277363959,0.2024476165,-0.04152028368,0.05137129856
MIR3189,-0.07665106843,0.004798207928,-0.1294846484,-0.1742926659,-0.001993858133,-0.1598579154,-0.01192555961,-0.02770750843,0.03029067815,0.1351233358,-0.1114382888,-0.1315196571,-0.01308447272,0.03930650912,1,-0.03517965844,0.1893016757,0.03892213897,0.133194634,0.06201687849,0.07389884717,-0.02239039098,-0.04308141942,-0.1909301119,-0.02168224836,-0.04888067839,0.2157750025,-0.09023205658,-0.172373542,-0.1087338421,0.002802276248,-0.01942521633,0.06147327847,0.06357987355,0.02775942343,0.2322012972,0.09958697099,0.03444540987,-0.07316733998,0.2130780614,0.2276369312,0.04561240033,-0.03210433966,-0.0009635862055,-0.03385900981,0.1143798844,-0.03101259996,0.0273871386,0.1488750657,0.1503057732,0.1393780705,-0.02998415758,-0.02016699095,0.08808987782,-0.09899139064,0.08447075147,-0.03632222981,0.04768276999,0.1872815127,0.08021077804,-0.1106736252,0.04860722587,0.2017383499,-0.0386636314
