gene,community
SNORD29,6
SNORD31,0
MIR24-1,7
FTL,0
SNORD2,8
SNORD27,9
SNORD49A,10
SNORD68,0
MIR4461,11
MIR631,12
MIR374C,13
SNORD45B,14
IGFBP5,2
SNORD55,15
MIR3189,16
SNORD38A,17
QSOX1,1
SNORD34,18
MIR3191,19
SNORD102,20
MIR4720,21
SNORD26,3
SNORD73A,5
COL1A2,1
MIR1914,22
MIR103A2,23
SNORD28,24
SNORD36A,1
SNORD104,0
SNORD59B,25
SNORD32A,2
MIR4649,26
MIR3120,27
SNORD60,28
MIR4664,4
MIR93,29
MIR324,30
MIR4324,4
SNORD50B,1
MIR656,31
MIR503,32
SNORD45A,33
MIR29B2,34
SNORD62A,0
MIR4635,35
SNORD79,36
MIR614,2
MIR21,37
SNORD54,38
MIR3074,39
MIR410,40
MIR939,3
MIR4516,41
SNORD38B,42
MIR4492,43
SNORD103A,44
SNORD30,5
MIR450B,45
MIR4524A,46
SNORD56,47
SNORD58C,0
MIR421,48
SNORD36B,49
SNORD65,50
