rank,method,params,loo_nll,condition_number
1,ad_target_ridge,lam=0.7,80.452288,5328.823903
2,ad_target_ridge,lam=0.9,82.249900,4753.863945
3,ad_target_ridge,lam=0.5,82.553212,6649.707370
4,ridge,alpha=0.7,85.165083,6.369161
5,oas,,85.365039,9.458770
6,lw,,86.082027,12.332813
7,ad_target_oas,,86.964837,35638.362103
8,ad_elastic_net,l1_ratio=0.25;lam=0.01,87.324574,560.964653
9,ad_lasso,lam=0.01,87.605840,517.967032
10,ad_elastic_net,l1_ratio=0.25;lam=0.03,88.161743,181.070581
11,ad_ridge,alpha=0.05,88.529725,112.424858
12,ridge,alpha=0.4,88.662983,19.792065
13,ad_target_lw,,88.902192,42023.690822
14,ad_lasso,lam=0.03,89.052927,138.439796
15,ad_ridge,alpha=0.1,89.119346,53.914324
16,ad_target_optimal,,89.414398,40034.511244
17,ad_elastic_net,l1_ratio=0.25;lam=0.1,89.428747,45.238899
18,ad_ridge,alpha=0.2,89.726251,24.547397
19,ad_ridge,alpha=0.4,90.415116,9.835895
20,ad_sample,,90.723454,23136.698145
21,ad_linear_lw,,90.811400,6.329416
22,ad_oas,,91.036416,4.978089
23,ad_ridge,alpha=0.7,91.288412,3.525230
24,ad_lasso,lam=0.3,92.228738,6.247233
25,ad_elastic_net,l1_ratio=0.25;lam=0.3,92.323870,9.174414
26,ad_target_ridge,lam=0.3,94.263721,8587.438635
27,ridge,alpha=0.2,112.571330,51.112172
28,ridge,alpha=0.1,177.364684,113.752388
29,ad_target_ridge,lam=0.1,184.758226,11048.030861
30,ridge,alpha=0.05,324.055755,239.032818
31,ad_lasso,lam=0.1,1974.560160,70.152539
32,elastic_net,l1_ratio=0.25;lam=0.3,37772.497995,1055600.005126
33,elastic_net,l1_ratio=0.25;lam=0.1,70638.502382,1185882.154534
34,elastic_net,l1_ratio=0.25;lam=0.01,89782.138439,1246092.605700
35,elastic_net,l1_ratio=0.25;lam=0.03,90878.544663,1232697.339816
36,lasso,lam=0.3,94765.836170,503460.247056
37,lasso,lam=0.1,329211.592154,962552.648914
38,lasso,lam=0.03,413369.334688,1163604.894880
39,lasso,lam=0.01,448028.282383,1223005.870585
40,sample,,1635708.465389,1252804.306331
