gene,group,group_id
SNORD29,SNORD,0
SNORD31,SNORD,0
MIR24-1,MIR,1
FTL,FTL,2
SNORD2,SNORD,0
SNORD27,SNORD,0
SNORD49A,SNORD,0
SNORD68,SNORD,0
MIR4461,MIR,1
MIR631,MIR,1
MIR374C,MIR,1
SNORD45B,SNORD,0
IGFBP5,IGF,3
SNORD55,SNORD,0
MIR3189,MIR,1
SNORD38A,SNORD,0
QSOX1,QSOX,4
SNORD34,SNORD,0
MIR3191,MIR,1
SNORD102,SNORD,0
MIR4720,MIR,1
SNORD26,SNORD,0
SNORD73A,SNORD,0
COL1A2,COL,5
MIR1914,MIR,1
MIR103A2,MIR,1
SNORD28,SNORD,0
SNORD36A,SNORD,0
SNORD104,SNORD,0
SNORD59B,SNORD,0
SNORD32A,SNORD,0
MIR4649,MIR,1
MIR3120,MIR,1
SNORD60,SNORD,0
MIR4664,MIR,1
MIR93,MIR,1
MIR324,MIR,1
MIR4324,MIR,1
SNORD50B,SNORD,0
MIR656,MIR,1
MIR503,MIR,1
SNORD45A,SNORD,0
MIR29B2,MIR,1
SNORD62A,SNORD,0
MIR4635,MIR,1
SNORD79,SNORD,0
MIR614,MIR,1
MIR21,MIR,1
SNORD54,SNORD,0
MIR3074,MIR,1
MIR410,MIR,1
MIR939,MIR,1
MIR4516,MIR,1
SNORD38B,SNORD,0
MIR4492,MIR,1
SNORD103A,SNORD,0
SNORD30,SNORD,0
MIR450B,MIR,1
MIR4524A,MIR,1
SNORD56,SNORD,0
SNORD58C,SNORD,0
MIR421,MIR,1
SNORD36B,SNORD,0
SNORD65,SNORD,0
