gene_a,gene_b,covariance,abs_covariance
QSOX1,COL1A2,-0.9986735323,0.9986735323
FTL,IGFBP5,-0.5997864043,0.5997864043
IGFBP5,COL1A2,0.5675520031,0.5675520031
IGFBP5,QSOX1,-0.5630954983,0.5630954983
FTL,SNORD58C,0.4063368204,0.4063368204
IGFBP5,MIR614,-0.3856788002,0.3856788002
FTL,SNORD104,0.3714282933,0.3714282933
QSOX1,SNORD36A,-0.3677102,0.3677102
COL1A2,SNORD36A,0.36537445,0.36537445
SNORD73A,SNORD30,0.3616165937,0.3616165937
FTL,SNORD68,0.3463233399,0.3463233399
MIR4664,MIR4324,0.3447516836,0.3447516836
SNORD26,MIR939,0.3443223796,0.3443223796
IGFBP5,SNORD32A,-0.3391978168,0.3391978168
FTL,QSOX1,-0.3173230243,0.3173230243
FTL,SNORD62A,0.3143034033,0.3143034033
QSOX1,SNORD50B,-0.3129870768,0.3129870768
FTL,SNORD32A,0.3124599082,0.3124599082
FTL,COL1A2,0.3121687038,0.3121687038
SNORD31,FTL,0.3099397868,0.3099397868
