,SNORD29,SNORD31,MIR24-1,FTL,SNORD2,SNORD27,SNORD49A,SNORD68,MIR4461,MIR631,MIR374C,SNORD45B,IGFBP5,SNORD55,MIR3189,SNORD38A,QSOX1,SNORD34,MIR3191,SNORD102,MIR4720,SNORD26,SNORD73A,COL1A2,MIR1914,MIR103A2,SNORD28,SNORD36A,SNORD104,SNORD59B,SNORD32A,MIR4649,MIR3120,SNORD60,MIR4664,MIR93,MIR324,MIR4324,SNORD50B,MIR656,MIR503,SNORD45A,MIR29B2,SNORD62A,MIR4635,SNORD79,MIR614,MIR21,SNORD54,MIR3074,MIR410,MIR939,MIR4516,SNORD38B,MIR4492,SNORD103A,SNORD30,MIR450B,MIR4524A,SNORD56,SNORD58C,MIR421,SNORD36B,SNORD65
SNORD29,1,0.310902859,0.1642797747,0.1334113291,0.3179585805,0.4029476651,0.03877828411,0.3488916877,0.01814578207,0.08779020475,0.3934644498,0.3583940317,0.04656551883,-0.01061728662,-0.08114837901,0.06375893657,-0.05036427356,0.1737426438,0.01292320735,-0.02624772854,0.05245176149,0.1064761415,0.06821872963,0.1353677604,0.00332595897,0.3531933365,-0.07340417512,0.1215619073,0.05757455645,0.3880961766,0.08406608527,0.09338412444,0.2731697194,-0.07276776236,-0.07394494293,-0.06035270053,0.3370261919,-0.07966653533,0.1633028982,0.02603792746,-0.0453052277,0.2923310001,0.1332971059,0.02499730565,0.3849442696,-0.07498960806,0.03393726159,0.0330995574,-0.004331226197,-0.07743485362,0.01430558899,0.1026230694,0.03114980655,-0.06054000419,0.4222498321,0.09830955006,0.07155691768,0.1748210995,-0.02308798935,-0.06091651344,0.1420856735,0.04879362073,0.1439416863,0.2421573013
SNORD31,0.310902859,1,0.05977110282,0.1938849063,0.2185304693,0.285515994,-0.02134249318,0.3722200671,-0.03325192337,-0.02911116823,0.2082225951,0.2462293186,-0.07586527593,-0.03036676001,0.0003008973501,-0.02063459867,0.03282902379,0.09471775682,0.03223395634,0.1588590996,0.07408706061,0.0169717867,0.02389286164,0.05204451676,0.1378831818,0.2411681799,-0.05619696364,0.04685118936,0.1556706354,0.2021148461,0.1126770928,0.1206951432,0.2818432085,-0.07719409293,0.08515613768,0.1537161552,0.3738863475,0.08061371908,0.09610264447,0.02556894964,-0.08716380722,0.360482283,-0.01322579576,0.1740314245,0.2838299625,0.01723862434,0.1467369149,-0.01100325616,-0.02587301617,0.02085961548,0.1225064083,0.01103340023,0.1063127966,0.01856166302,0.3291672842,0.1139935577,0.01838265368,0.1088771397,-0.05330823111,0.1415140254,0.1376491576,0.053064182,0.3484671041,0.05091956547
MIR24-1,0.1642797747,0.05977110282,1,0.1446525571,0.07142969934,0.2257942166,0.2077461054,0.1304795365,-0.06179035442,-0.01600934455,0.2070575147,0.1631743864,0.08928055877,0.1026822195,-0.1572052232,0.2138734763,-0.1974644946,0.1041574728,-0.1128391029,-0.04206569053,0.1501335973,0.03821197576,0.1854050305,0.2318196196,0.08522449747,0.170818097,-0.1366931599,0.2335846614,0.1852151763,0.2141720416,-0.01691841068,0.0421038237,0.06518371022,0.05539154924,-0.07982083899,-0.1634351405,0.02395897533,-0.07598854891,0.2056855377,-0.04745882114,-0.08798540248,0.1066715058,0.1098490375,0.06053622572,0.04391249133,-0.002640905084,-0.06619710924,0.1295096683,-0.04582061514,-0.0204146317,-0.05441034145,0.02888069092,0.07721065926,-0.06439772395,0.08071213189,0.1622246772,0.1874207299,-0.007333420258,-0.069082412,-0.04879700051,0.1763943012,0.1399235472,-0.04684269205,0.02988240305
FTL,0.1334113291,0.1938849063,0.1446525571,1,0.03438172896,0.1935083481,-0.007208135279,0.2302684594,0.07405160972,-0.05932329091,0.1561460174,0.1673662863,-0.1620644102,-0.05284942481,-0.195568005,0.06433757791,-0.07732539621,-0.01264204765,-0.00619254982,0.1438216882,0.1324724068,0.1326593178,0.1007318828,0.1115221222,0.1976116949,0.1721892626,-0.1456930322,0.1138393387,0.2302758839,0.1619414821,0.1713074988,0.2004864441,0.1098032968,0.02299435633,0.1196738436,-0.1114397676,0.1058239565,0.1137251918,0.09729980829,-0.1411700255,-0.2277118265,0.1808435908,-0.005208403526,0.1861904796,0.06791313575,0.0182337924,0.1959398836,0.01617520583,-0.1160442154,-0.02569551344,-0.04288491948,0.1395095758,0.148820849,0.08641909345,0.1452004711,0.1387462295,0.0916143735,0.100785011,-0.1765281681,0.09758677167,0.2651844111,0.0001890901906,0.1108400881,0.07951669396
SNORD2,0.3179585805,0.2185304693,0.07142969934,0.03438172896,1,0.3813653108,0.1415237317,0.2120290224,-0.09152586568,0.1195942603,0.2790697999,0.3296021836,-0.02026423315,0.1960462384,-0.006491168712,0.1403579389,0.1197513531,0.1037003336,0.1229471469,-0.09136642465,0.07521835692,0.121308094,0.1428312576,-0.03382211494,-0.1868757343,0.2352669383,-0.05681014715,-0.03700135559,0.01598861544,0.3683553999,0.05117871605,0.1273317455,0.3267397433,-0.07657950918,-0.114134094,0.04802673385,0.3249061251,-0.1184420383,0.01024416364,0.01606536771,0.09095728867,0.1230172837,0.06046219,0.0003907520587,0.4499748548,-0.1370370431,0.07972898212,0.1712215544,0.1339579351,-0.200139717,0.0905517808,0.09742878419,-0.1217909573,-0.09879030806,0.4120280258,0.05364949586,0.1386937071,0.0951061882,0.06541686015,-0.09481695397,-0.01349932537,0.07144949649,0.1280396061,0.1656174495
SNORD27,0.4029476651,0.285515994,0.2257942166,0.1935083481,0.3813653108,1,0.1507462802,0.3432125299,-0.04495997468,0.04210980053,0.3604370753,0.4059601445,0.0003958643804,0.1252537483,-0.164355226,0.1521970759,-0.06092906551,0.10913286,0.02257368167,-0.0889679701,0.07117216833,0.1030048963,0.1330940215,0.1450854008,-0.02565652745,0.3228896861,-0.1296648892,0.1451735844,0.1713558404,0.3660350709,0.04213835286,0.1075177229,0.1915461879,-0.0561381487,-0.1064495758,-0.09376351731,0.2523459055,-0.1149047307,0.2125072114,-0.06386042964,-0.08236654115,0.1772188018,0.1408808872,-0.001964963472,0.3737436512,-0.1325362738,0.07798635458,0.06961133658,-0.02847606726,-0.1711358476,-0.05664286348,0.09255843187,-0.05097330627,-0.09505432027,0.4199394114,0.02099119214,0.1335124653,0.08606963088,-0.0564056454,-0.08999084979,0.1258862981,0.1440128284,0.1165886874,0.150580948
SNORD49A,0.03877828411,-0.02134249318,0.2077461054,-0.007208135279,0.1415237317,0.1507462802,1,0.01976790824,-0.1256474878,-0.01166169559,0.08005617945,0.1192681771,0.1658243867,0.2992485498,-0.02848091338,0.2239771217,-0.09927613409,0.1439485479,-0.04468794838,-0.1143586951,0.1054343038,-0.05145762745,0.1443989551,0.1604722788,-0.03860182501,0.03246705898,-0.06038844937,0.1643701311,0.0906021907,0.07118998764,-0.1473520559,-0.02116877959,-0.02887370144,0.1160221431,-0.1310840972,-0.0231851898,0.02654266135,-0.1297147143,0.1533709757,0.0228073534,0.03997440704,-0.05152244449,0.2024281553,-0.04759515936,0.09435333618,-0.03184660244,-0.1315796412,0.1686314949,0.09423215571,-0.01209415145,0.002748606023,-0.06603318965,-0.0183333354,-0.0917365523,0.06277551453,0.1030565983,0.153743061,-0.0643300795,0.124384918,-0.08976058884,-0.0355729972,0.2118572905,-0.1160088299,-0.01139624292
SNORD68,0.3488916877,0.3722200671,0.1304795365,0.2302684594,0.2120290224,0.3432125299,0.01976790824,1,-0.01373100918,0.009575375822,0.3839200953,0.4090872824,-0.005698063482,-0.04925547681,-0.03220481901,0.01127068643,-0.09400909643,0.05118904887,0.03277187999,0.01852761307,0.07647155107,0.05261524145,-0.01504327944,0.1776060629,0.1224944713,0.4239506935,-0.08057714516,0.15833193,0.1201753874,0.2944659773,0.06979991919,0.1958792714,0.2681055984,0.01964620083,-0.03837476408,-0.002097868081,0.4229826539,-0.04465662417,0.1348421411,0.001014849122,-0.101855696,0.3847493962,0.1101716704,0.01929914834,0.3068485237,0.001043388207,0.1003582255,-0.0619642563,-0.04691953846,-0.02629962878,-0.01158258886,0.05861562536,0.06080996067,0.007118973806,0.355201501,0.09751766491,-0.01646465648,0.1789754909,-0.08542991481,0.01013503918,0.158721553,0.0461721621,0.3505091691,0.1280108364
MIR4461,0.01814578207,-0.03325192337,-0.06179035442,0.07405160972,-0.09152586568,-0.04495997468,-0.1256474878,-0.01373100918,1,0.06099029402,-0.06211670924,-0.07369182271,-0.04399842423,-0.1155175369,0.01560958901,-0.05194728257,0.07895902445,0.004783943737,0.09972062621,0.1482889733,0.1940161493,0.1796428033,-0.007541803564,-0.01768062824,0.1204090503,-0.009411914297,0.1829793757,-0.01512344419,0.06673043784,-0.05398631117,0.1187594681,0.08092275678,-0.09476072368,0.1104939587,0.2337544733,-0.04618848364,-0.03248376979,0.2295026401,-0.005959177396,0.03966805222,-5.472046812e-05,0.1020860596,-0.03099241059,0.08768012295,-0.05338058494,0.1480945481,0.1436785564,-0.03085919852,-0.01666223515,0.1111155352,-0.01288478058,0.2067875856,0.1727187558,0.3017258523,-0.028848908,0.2223984549,-0.00764927921,0.1042955125,-0.04093490136,0.09617485007,0.09572715796,0.005944516154,0.03202008304,0.03887119403
MIR631,0.08779020475,-0.02911116823,-0.01600934455,-0.05932329091,0.1195942603,0.04210980053,-0.01166169559,0.009575375822,0.06099029402,1,0.05452897663,0.0163954006,-0.03956038862,0.03953509759,0.107402761,0.08045073597,0.1659391652,-0.02384013097,0.2076727706,-0.05187821116,0.1695211246,0.1843898069,0.1646749532,-0.131030685,-0.1419561625,0.1014237182,0.1463944444,-0.1464986235,-0.08484100244,0.1269476553,0.1245818003,0.06777682279,0.1016246326,0.01127597114,0.01154984639,0.08169673172,0.05762710607,0.01295504468,-0.1082934365,0.2326928565,0.05345385929,-0.00207846234,0.06312393844,0.03625378591,0.1132079933,-0.1114894237,0.06914346057,0.1791267059,0.08644146919,-0.1121385137,0.09245277689,0.1671601465,-0.06638005905,0.06426311065,0.07109558628,0.1494484391,0.1697642241,0.2089332094,0.1112589852,0.05840056015,-0.006327819846,0.1508071383,0.06364324211,0.1617111062
