gene,community
SNORD29,1
SNORD31,3
MIR24-1,4
FTL,5
SNORD2,1
SNORD27,1
SNORD49A,6
SNORD68,0
MIR4461,7
MIR631,8
MIR374C,0
SNORD45B,0
IGFBP5,9
SNORD55,10
MIR3189,11
SNORD38A,12
QSOX1,13
SNORD34,14
MIR3191,15
SNORD102,16
MIR4720,2
SNORD26,17
SNORD73A,18
COL1A2,19
MIR1914,20
MIR103A2,0
SNORD28,21
SNORD36A,22
SNORD104,23
SNORD59B,0
SNORD32A,24
MIR4649,25
MIR3120,0
SNORD60,26
MIR4664,27
MIR93,28
MIR324,0
MIR4324,29
SNORD50B,30
MIR656,31
MIR503,32
SNORD45A,33
MIR29B2,34
SNORD62A,35
MIR4635,1
SNORD79,36
MIR614,37
MIR21,38
SNORD54,39
MIR3074,40
MIR410,41
MIR939,42
MIR4516,43
SNORD38B,44
MIR4492,1
SNORD103A,2
SNORD30,45
MIR450B,46
MIR4524A,47
SNORD56,48
SNORD58C,49
MIR421,50
SNORD36B,51
SNORD65,52
