gene,group,group_id
SNORD29,block_0,0
SNORD31,block_0,0
MIR24-1,block_1,1
FTL,block_1,1
SNORD2,block_0,0
SNORD27,block_0,0
SNORD49A,block_2,2
SNORD68,block_0,0
MIR4461,block_2,2
MIR631,block_1,1
MIR374C,block_0,0
SNORD45B,block_0,0
IGFBP5,block_1,1
SNORD55,block_2,2
MIR3189,block_1,1
SNORD38A,block_2,2
QSOX1,block_1,1
SNORD34,block_1,1
MIR3191,block_1,1
SNORD102,block_2,2
MIR4720,block_3,3
SNORD26,block_1,1
SNORD73A,block_2,2
COL1A2,block_1,1
MIR1914,block_2,2
MIR103A2,block_0,0
SNORD28,block_1,1
SNORD36A,block_1,1
SNORD104,block_1,1
SNORD59B,block_0,0
SNORD32A,block_1,1
MIR4649,block_1,1
MIR3120,block_0,0
SNORD60,block_2,2
MIR4664,block_2,2
MIR93,block_1,1
MIR324,block_0,0
MIR4324,block_2,2
SNORD50B,block_1,1
MIR656,block_1,1
MIR503,block_1,1
SNORD45A,block_0,0
MIR29B2,block_2,2
SNORD62A,block_2,2
MIR4635,block_0,0
SNORD79,block_2,2
MIR614,block_1,1
MIR21,block_2,2
SNORD54,block_1,1
MIR3074,block_2,2
MIR410,block_1,1
MIR939,block_1,1
MIR4516,block_2,2
SNORD38B,block_2,2
MIR4492,block_0,0
SNORD103A,block_3,3
SNORD30,block_2,2
MIR450B,block_1,1
MIR4524A,block_1,1
SNORD56,block_2,2
SNORD58C,block_1,1
MIR421,block_2,2
SNORD36B,block_0,0
SNORD65,block_1,1
