gene_a,gene_b,covariance,abs_covariance
MIR4720,SNORD103A,0.7015139524,0.7015139524
MIR374C,MIR103A2,0.4820966803,0.4820966803
MIR4635,MIR4492,0.4797251839,0.4797251839
MIR374C,SNORD45B,0.4787849705,0.4787849705
SNORD2,MIR4635,0.4499748548,0.4499748548
SNORD45B,MIR4492,0.4486811612,0.4486811612
SNORD45B,MIR103A2,0.4376034025,0.4376034025
MIR374C,SNORD59B,0.4295722166,0.4295722166
SNORD68,MIR103A2,0.4239506935,0.4239506935
SNORD68,MIR324,0.4229826539,0.4229826539
SNORD29,MIR4492,0.4222498321,0.4222498321
SNORD27,MIR4492,0.4199394114,0.4199394114
SNORD2,MIR4492,0.4120280258,0.4120280258
SNORD68,SNORD45B,0.4090872824,0.4090872824
SNORD45B,MIR4635,0.4062955832,0.4062955832
SNORD27,SNORD45B,0.4059601445,0.4059601445
SNORD29,SNORD27,0.4029476651,0.4029476651
SNORD29,MIR374C,0.3934644498,0.3934644498
SNORD59B,MIR3120,0.3934353786,0.3934353786
SNORD45B,SNORD59B,0.3882384916,0.3882384916
